id_batiment,infra_id,infra_etat,longueur,type_batiment,nb_maisons,type_infra
E000041,P000308,infra_intacte,39.1407985664577,habitation,2,fourreau
E000041,P000308,infra_intacte,39.1407985664577,habitation,2,fourreau
E000041,P000160,infra_intacte,44.6252544771484,habitation,2,semi-aerien
E000041,P000187,infra_intacte,15.0067646658694,habitation,2,fourreau
E000041,P007226,infra_intacte,14.9386818000782,habitation,2,aerien
E000042,P007111,infra_intacte,12.3144613356693,habitation,4,fourreau
E000042,P007983,infra_intacte,40.3209288665353,habitation,4,aerien
E000042,P000308,infra_intacte,39.1407985664577,habitation,4,fourreau
E000042,P000308,infra_intacte,39.1407985664577,habitation,4,fourreau
E000042,P000160,infra_intacte,44.6252544771484,habitation,4,semi-aerien
E000042,P000347,infra_intacte,47.6908735474847,habitation,4,aerien
E000042,P007259,infra_intacte,7.22642714229678,habitation,4,aerien
E000043,P007111,infra_intacte,12.3144613356693,habitation,8,fourreau
E000043,P007983,infra_intacte,40.3209288665353,habitation,8,aerien
E000043,P000308,infra_intacte,39.1407985664577,habitation,8,fourreau
E000043,P000308,infra_intacte,39.1407985664577,habitation,8,fourreau
E000043,P000160,infra_intacte,44.6252544771484,habitation,8,semi-aerien
E000043,P000347,infra_intacte,47.6908735474847,habitation,8,aerien
E000043,P007135,infra_intacte,8.29321324734341,habitation,8,aerien
E000044,P007111,infra_intacte,12.3144613356693,habitation,6,fourreau
E000044,P007983,infra_intacte,40.3209288665353,habitation,6,aerien
E000044,P000308,infra_intacte,39.1407985664577,habitation,6,fourreau
E000044,P000308,infra_intacte,39.1407985664577,habitation,6,fourreau
E000044,P000160,infra_intacte,44.6252544771484,habitation,6,semi-aerien
E000044,P000347,infra_intacte,47.6908735474847,habitation,6,aerien
E000044,P007378,infra_intacte,11.5278268624067,habitation,6,fourreau
E000045,P007111,infra_intacte,12.3144613356693,habitation,8,fourreau
E000045,P007982,infra_intacte,49.956115228201,habitation,8,fourreau
E000045,P000181,infra_intacte,6.18934271279126,habitation,8,aerien
E000045,P000394,infra_intacte,37.5183055134459,habitation,8,fourreau
